Days,A,B,C,D,E,F,G,H
76,113.2027753,93.40354609,418.4933991,89.05322737,178.9727213,101.7511134,87.20965726,106.1209618
77,113.6724537,94.35155228,431.9307902,83.10138204,163.7239404,101.0146912,90.24206239,107.0926259
78,115.9702549,94.43158809,381.6084211,86.62131148,157.6244345,101.4771133,91.73936823,107.1268933
79,117.8204362,92.36885433,374.8218584,84.15740011,145.9069027,99.89472402,90.68245498,107.48066
80,118.3958658,93.74068843,354.6318445,90.1411658,135.4735314,99.50184093,92.95988288,108.5013297
81,120.3864261,94.63682312,374.6182698,90.17316129,138.6837724,99.72314685,91.38705873,109.1288247
82,120.3347302,98.49406658,355.1069018,88.73320571,154.0931373,99.07093263,89.52484812,108.5555685
83,120.9264291,96.85572673,331.0146092,89.57636571,151.0433523,99.54580758,91.63872035,108.558063
84,123.7234548,96.18578125,311.4693012,88.39987833,154.0931373,96.23399158,93.04795073,108.9319051
85,123.6636534,94.99501711,341.3980419,87.28877594,160.8346434,95.39323105,92.97246291,108.9006875
86,122.9519716,95.41649349,344.2144717,88.92277459,163.7239404,95.8781179,92.55723801,109.2910884
87,124.4608356,99.1568048,364.3705455,89.96854208,176.5650325,96.46315449,95.97968511,108.8810862
88,123.6651911,101.6027644,377.4686137,88.75937473,172.7126633,96.99247025,95.96708222,108.9381492
89,123.8431832,101.2863139,394.7404294,92.12542866,167.5762296,98.70133592,97.08696422,107.8990893
90,124.9329329,103.5052957,385.9857572,95.29544449,169.5023902,97.15290435,96.09295113,108.1587303
91,124.9527571,105.6559086,368.3746186,95.1647079,165.489613,99.34160405,98.28229594,107.1442258
92,126.1220265,106.7611424,369.9355249,91.1123161,167.0947015,100.7170139,97.47703668,107.8724271
93,126.1313867,107.8526033,387.5127235,91.30845437,182.8651765,101.2267174,99.263729,107.6168443
94,126.2681716,113.6515219,364.3026913,86.73321639,187.47998,103.0641311,98.68491795,108.2553354
95,124.4451918,113.9933022,333.1863072,86.34106506,191.0112611,100.3376266,99.03725793,107.9113034
96,124.1196916,112.4205472,312.3176215,82.09264351,197.7527993,102.5731915,100.8240036,107.4554353
97,124.8161382,114.1412034,325.6532184,79.24944411,200.8026003,103.550505,100.8742932,107.6634784
98,123.0201017,113.1928786,299.3213476,80.75273122,181.8619542,103.8415066,99.9557832,107.1246522
99,125.8793516,113.928624,303.4950951,75.94875847,192.4559096,103.3452254,102.0067019,106.971188
100,126.2949411,113.5359937,311.5710955,74.21666981,197.5922952,103.9893065,103.0259132,107.5776433
101,122.5871651,113.7578854,285.2053105,73.95523002,192.6163016,103.139543,102.5226433,107.7863943
102,123.9727281,111.0745118,350.7295657,66.21006386,200.3210401,102.8043232,98.25712063,107.7522815
103,122.5232946,113.3156919,390.2273589,70.85062423,199.83956,103.3799559,95.55191066,106.5570948
104,122.5934557,114.7018658,405.4631851,66.27541129,201.6050885,104.5726637,97.35118301,107.296574
105,122.86401,114.0405137,451.0010409,67.90942664,203.8523693,104.3154055,99.2259889,107.8901844
106,122.1418461,115.6588517,471.9375808,66.8636508,204.1733613,105.2538949,98.79815349,107.7807569
107,121.7820212,117.1614831,522.0563613,68.5957186,204.4943694,106.5818322,99.84251719,106.0441158
