Date,Open,High,Low,Close,Adj Close,Volume
2006/4/6,130.8500061,131.2100067,130.1900024,130.8699951,93.99724579,57906200
2006/4/7,131.0599976,131.3999939,129.3500061,129.5399933,93.04197693,80180900
2006/4/10,129.7400055,130.0800018,129.2599945,129.7400055,93.18564606,41496500
2006/4/11,129.8500061,130.0599976,128.25,128.6399994,92.39556122,72799400
2006/4/12,128.7700043,129.1300049,128.6100006,128.8800049,92.5679245,43033700
2006/4/13,128.5899963,129.25,128.3099976,128.7100067,92.44583893,51051800
2006/4/17,128.8300018,129.3099976,128.0200043,128.6600037,92.409935,64167700
2006/4/18,128.9299927,130.9400024,128.9299927,130.6999969,93.87513733,92531800
2006/4/19,130.75,131.0700073,130.2400055,130.9499969,94.05472565,87269000
2006/4/20,131,131.8600006,130.6000061,131.1300049,94.18398285,86005500
2006/4/21,131.6900024,131.7899933,130.6199951,131.1499939,94.19837952,72342600
2006/4/24,130.8899994,131.0700073,130.3800049,130.9100037,94.02599335,52546400
2006/4/25,131.0399933,131.1199951,129.9199982,130.3699951,93.63813782,84359800
2006/4/26,130.5,131.1399994,130.3000031,130.3999939,93.65969086,67262400
2006/4/27,129.8999939,131.6300049,129.5899963,131.0299988,94.11214447,124478600
2006/4/28,130.7899933,131.75,130.7100067,131.4700012,94.42821503,55854400
2006/5/1,131.4700012,131.8000031,130.3200073,130.3999939,93.65969086,64990300
2006/5/2,131.0099945,131.4600067,130.7400055,131.3800049,94.36357117,49063500
2006/5/3,131.1499939,131.3200073,130.4499969,130.8899994,94.0116272,60821300
2006/5/4,131.0800018,131.6199951,130.9700012,131.3600006,94.34918976,42921400
2006/5/5,132.0500031,132.8000031,131.8500061,132.5200043,95.18237305,62588200
2006/5/8,132.5099945,132.7700043,132.3600006,132.3600006,95.06746674,30016700
